Time (s),PPG Signal Intensity
0.000000000000000000e+00,2.700545514286000426e+01
3.333333333333333287e-02,2.849383891706783700e+01
6.666666666666666574e-02,3.009082108205351247e+01
1.000000000000000056e-01,3.175001279404088805e+01
1.333333333333333315e-01,3.342502520925383180e+01
1.666666666666666574e-01,3.506946948391619401e+01
2.000000000000000111e-01,3.733892242475878476e+01
2.333333333333333370e-01,3.864341692107164050e+01
2.666666666666666630e-01,3.975555650667022434e+01
2.999999999999999889e-01,4.068726437039973831e+01
3.333333333333333148e-01,4.147638145422096301e+01
3.666666666666666408e-01,4.234478846482233649e+01
4.000000000000000222e-01,4.317544168025809626e+01
4.333333333333333481e-01,4.403531895596345436e+01
4.666666666666666741e-01,4.487659199181715053e+01
5.000000000000000000e-01,4.564535384081904112e+01
5.333333333333333259e-01,4.642102956064590558e+01
5.666666666666666519e-01,4.709460887838734777e+01
5.999999999999999778e-01,4.792022772736136460e+01
6.333333333333333037e-01,4.883117620511310975e+01
6.666666666666666297e-01,4.972623663066652711e+01
6.999999999999999556e-01,5.066629276966926909e+01
7.333333333333332815e-01,5.146790887333408193e+01
7.666666666666667185e-01,5.208122625843361675e+01
8.000000000000000444e-01,5.247376868395915039e+01
8.333333333333333703e-01,5.260065613847989852e+01
8.666666666666666963e-01,5.247557413206052956e+01
9.000000000000000222e-01,5.206977692075798103e+01
9.333333333333333481e-01,5.140114342868287167e+01
9.666666666666666741e-01,5.092619542053493120e+01
1.000000000000000000e+00,5.039114302355154962e+01
1.033333333333333437e+00,4.989228490576551422e+01
1.066666666666666652e+00,4.954142095234602294e+01
1.100000000000000089e+00,4.923709791806058433e+01
1.133333333333333304e+00,4.898067303637635916e+01
1.166666666666666741e+00,4.883778036829477998e+01
1.199999999999999956e+00,4.880376610941500104e+01
1.233333333333333393e+00,4.883998484895998615e+01
1.266666666666666607e+00,4.886951084096539688e+01
1.300000000000000044e+00,4.892454414014573416e+01
1.333333333333333259e+00,4.911307833584245941e+01
1.366666666666666696e+00,4.924210085417355032e+01
1.399999999999999911e+00,4.942599997734741635e+01
