Time (s),PPG Signal Intensity
0.000000000000000000e+00,5.765166702767695739e+01
3.333333333333333287e-02,5.769360128633398688e+01
6.666666666666666574e-02,5.772014134951046316e+01
1.000000000000000056e-01,5.773232579232283257e+01
1.333333333333333315e-01,5.773119318988754145e+01
1.666666666666666574e-01,5.771778211732102193e+01
2.000000000000000111e-01,5.768235317692641217e+01
2.333333333333333370e-01,5.764255272805834096e+01
2.666666666666666630e-01,5.758948220297331488e+01
2.999999999999999889e-01,5.752291289850971623e+01
3.333333333333333148e-01,5.745193219321530620e+01
3.666666666666666408e-01,5.738737105497926905e+01
4.000000000000000222e-01,5.733768017452874233e+01
4.333333333333333481e-01,5.728479045562887251e+01
4.666666666666666741e-01,5.723477444640757028e+01
5.000000000000000000e-01,5.719134940092831698e+01
5.333333333333333259e-01,5.714328361980029314e+01
5.666666666666666519e-01,5.709331489768028689e+01
5.999999999999999778e-01,5.704966391525864111e+01
6.333333333333333037e-01,5.701159024060435598e+01
6.666666666666666297e-01,5.697085350277396998e+01
6.999999999999999556e-01,5.694517832747843755e+01
7.333333333333332815e-01,5.691356874076465999e+01
7.666666666666667185e-01,5.687208826025276664e+01
8.000000000000000444e-01,5.682368229950782990e+01
8.333333333333333703e-01,5.677180662864520855e+01
8.666666666666666963e-01,5.671473525757629375e+01
9.000000000000000222e-01,5.663940448746087242e+01
9.333333333333333481e-01,5.656120236004227309e+01
9.666666666666666741e-01,5.650531802372579904e+01
1.000000000000000000e+00,5.645184918485828973e+01
1.033333333333333437e+00,5.641079794750883281e+01
1.066666666666666652e+00,5.638281204259359214e+01
1.100000000000000089e+00,5.635203495716924493e+01
1.133333333333333304e+00,5.632629023433133852e+01
1.166666666666666741e+00,5.631298312998345779e+01
1.199999999999999956e+00,5.629720084755204823e+01
1.233333333333333393e+00,5.627573180655449647e+01
1.266666666666666607e+00,5.625031900823844211e+01
1.300000000000000044e+00,5.621825297357663942e+01
1.333333333333333259e+00,5.618495211609224071e+01
1.366666666666666696e+00,5.615125937029515768e+01
1.399999999999999911e+00,5.612993229950782847e+01
1.433333333333333348e+00,5.611433851204407830e+01
1.466666666666666563e+00,5.610941403200616406e+01
1.500000000000000000e+00,5.611332047803743706e+01
1.533333333333333437e+00,5.613261845081262180e+01
1.566666666666666652e+00,5.614975578858582850e+01
1.600000000000000089e+00,5.615605379446851231e+01
1.633333333333333304e+00,5.614314435046551210e+01
1.666666666666666741e+00,5.611186984655533649e+01
1.699999999999999956e+00,5.606637640968263270e+01
1.733333333333333393e+00,5.601399987889613641e+01
1.766666666666666607e+00,5.596223564092635883e+01
1.800000000000000044e+00,5.591918590822590573e+01
1.833333333333333259e+00,5.588177603905281643e+01
1.866666666666666696e+00,5.585495286101112100e+01
1.899999999999999911e+00,5.584241415572366662e+01
1.933333333333333348e+00,5.583983079015408890e+01
1.966666666666666563e+00,5.584114957970884774e+01
2.000000000000000000e+00,5.584047146394409822e+01
2.033333333333333215e+00,5.584964165481757448e+01
2.066666666666666874e+00,5.585421090439240999e+01
2.100000000000000089e+00,5.586500066215001681e+01
2.133333333333333304e+00,5.588541799532303855e+01
2.166666666666666519e+00,5.590694547542368298e+01
2.200000000000000178e+00,5.592850534424826492e+01
2.233333333333333393e+00,5.594937736108779092e+01
2.266666666666666607e+00,5.596308029615524759e+01
2.299999999999999822e+00,5.598191469851251867e+01
2.333333333333333481e+00,5.599715467129465907e+01
2.366666666666666696e+00,5.600346241339763509e+01
2.399999999999999911e+00,5.601542400259274501e+01
2.433333333333333126e+00,5.602468597966841202e+01
2.466666666666666785e+00,5.603357510524691776e+01
2.500000000000000000e+00,5.604334695968540814e+01
2.533333333333333215e+00,5.605307004589737829e+01
2.566666666666666874e+00,5.606321396770788823e+01
2.600000000000000089e+00,5.606605461344364727e+01
2.633333333333333304e+00,5.606700018121993878e+01
